government-organisation	name	website	government-organisation-type	parent-bodies	text	crest	official-colour	abbreviation	start-date	end date
academy-for-justice-commissioning	Academy for Social Justice Commissioning	https://www.gov.uk/government/organisations/academy-for-justice-commissioning	Other	https://www.gov.uk/api/organisations/ministry-of-justice						
acas	"Advisory, Conciliation and Arbitration Service"	https://www.gov.uk/government/organisations/acas	Executive non-departmental public body	https://www.gov.uk/api/organisations/department-for-business-energy-and-industrial-strategy				Acas		
accelerated-access-review	Accelerated Access Review	https://www.gov.uk/government/organisations/accelerated-access-review	Other	https://www.gov.uk/api/organisations/department-of-health				AAR		
administration-of-radioactive-substances-advisory-committee	Administration of Radioactive Substances Advisory Committee	https://www.gov.uk/government/organisations/administration-of-radioactive-substances-advisory-committee	Advisory non-departmental public body	https://www.gov.uk/api/organisations/department-of-health				ARSAC		
administrative-court	Administrative Court	https://www.gov.uk/courts-tribunals/administrative-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
administrative-justice-and-tribunals-council	Administrative Justice and Tribunals Council	https://www.gov.uk/government/organisations/administrative-justice-and-tribunals-council	Advisory non-departmental public body	https://www.gov.uk/api/organisations/ministry-of-justice				AJTC		19-8-13
administrative-justice-and-tribunals-council-welsh-committee	Administrative Justice and Tribunals Council Welsh Committee	https://www.gov.uk/government/organisations/administrative-justice-and-tribunals-council-welsh-committee	Other							
admiralty-court	Admiralty Court	https://www.gov.uk/courts-tribunals/admiralty-court	Court	https://www.gov.uk/api/organisations/hm-courts-and-tribunals-service						
adult-learning-inspectorate	Adult Learning Inspectorate	https://www.gov.uk/government/organisations/adult-learning-inspectorate	Other							4-2007
advantage-west-midlands	Advantage West Midlands	https://www.gov.uk/government/organisations/advantage-west-midlands	Executive agency							
advisory-committee-on-animal-feedingstuffs	Advisory Committee on Animal Feedingstuffs	https://www.gov.uk/government/organisations/advisory-committee-on-animal-feedingstuffs	Advisory non-departmental public body	https://www.gov.uk/api/organisations/food-standards-agency				ACAF		
advisory-committee-on-business-appointments	Advisory Committee on Business Appointments	https://www.gov.uk/government/organisations/advisory-committee-on-business-appointments	Advisory non-departmental public body	https://www.gov.uk/api/organisations/cabinet-office				ACOBA		
