government-organisation	name	website	type	start-date	end date
academy-for-justice-commissioning	Academy for Social Justice Commissioning	government/organisations/academy-for-justice-commissioning	Other		
acas	"Advisory, Conciliation and Arbitration Service"	government/organisations/acas	Executive non-departmental public body		
accelerated-access-review	Accelerated Access Review	government/organisations/accelerated-access-review	Other		
administration-of-radioactive-substances-advisory-committee	Administration of Radioactive Substances Advisory Committee	government/organisations/administration-of-radioactive-substances-advisory-committee	Advisory non-departmental public body		
administrative-court	Administrative Court	courts-tribunals/administrative-court	Court		
administrative-justice-and-tribunals-council	Administrative Justice and Tribunals Council	government/organisations/administrative-justice-and-tribunals-council	Advisory non-departmental public body		19/08/2013
administrative-justice-and-tribunals-council-welsh-committee	Administrative Justice and Tribunals Council Welsh Committee	government/organisations/administrative-justice-and-tribunals-council-welsh-committee	Other		
admiralty-court	Admiralty Court	courts-tribunals/admiralty-court	Court		
adult-learning-inspectorate	Adult Learning Inspectorate	government/organisations/adult-learning-inspectorate	Other		2007-04
advantage-west-midlands	Advantage West Midlands	government/organisations/advantage-west-midlands	Executive agency		
advisory-committee-on-animal-feedingstuffs	Advisory Committee on Animal Feedingstuffs	government/organisations/advisory-committee-on-animal-feedingstuffs	Advisory non-departmental public body		
advisory-committee-on-business-appointments	Advisory Committee on Business Appointments	government/organisations/advisory-committee-on-business-appointments	Advisory non-departmental public body		
advisory-committee-on-clinical-excellence-awards	Advisory Committee on Clinical Excellence Awards	government/organisations/advisory-committee-on-clinical-excellence-awards	Advisory non-departmental public body		
advisory-committee-on-conscientious-objectors	Advisory Committee on Conscientious Objectors	government/organisations/advisory-committee-on-conscientious-objectors	Advisory non-departmental public body		
advisory-committee-on-novel-foods-and-processes	Advisory Committee on Novel Foods and Processes	government/organisations/advisory-committee-on-novel-foods-and-processes	Advisory non-departmental public body		
advisory-committee-on-pesticides	Advisory Committee on Pesticides	government/organisations/advisory-committee-on-pesticides	Advisory non-departmental public body		2015-03
advisory-committee-on-releases-to-the-environment	Advisory Committee on Releases to the Environment	government/organisations/advisory-committee-on-releases-to-the-environment	Advisory non-departmental public body		
advisory-committee-on-the-microbiological-safety-of-food	Advisory Committee on the Microbiological Safety of Food	government/organisations/advisory-committee-on-the-microbiological-safety-of-food	Advisory non-departmental public body		
advisory-committees-on-justices-of-the-peace	Advisory Committees on Justices of the Peace	government/organisations/advisory-committees-on-justices-of-the-peace	Advisory non-departmental public body		
advisory-council-on-the-misuse-of-drugs	Advisory Council on the Misuse of Drugs	government/organisations/advisory-council-on-the-misuse-of-drugs	Advisory non-departmental public body		
advisory-group-on-military-medicine	Advisory Group on Military Medicine	government/organisations/advisory-group-on-military-medicine	Other		
advisory-panel-on-public-sector-information	Advisory Panel on Public Sector Information	government/organisations/advisory-panel-on-public-sector-information	Advisory non-departmental public body		2015-10
agri-food-and-biosciences-institute	Agri-Food and Biosciences Institute (Northern Ireland)	government/organisations/agri-food-and-biosciences-institute	Executive non-departmental public body		
agricultural-dwelling-house-advisory-committees-x16	Agricultural Dwelling House Advisory Committees (x16)	government/organisations/agricultural-dwelling-house-advisory-committees-x16	Advisory non-departmental public body		
agricultural-wages-committee-x13	Agricultural Wages Committee	government/organisations/agricultural-wages-committee-x13	Executive non-departmental public body		
agriculture-and-horticulture-development-board	Agriculture and Horticulture Development Board	government/organisations/agriculture-and-horticulture-development-board	Executive non-departmental public body		
air-accidents-investigation-branch	Air Accidents Investigation Branch	government/organisations/air-accidents-investigation-branch	Other		
airports-commission	Airports Commission	government/organisations/airports-commission	Other		2015-07
alcohol-education-and-research-council	Alcohol Education and Research Council	government/organisations/alcohol-education-and-research-council	Other		28/03/2011
ancient-monuments-board-for-scotland	Ancient Monuments Board for Scotland	government/organisations/ancient-monuments-board-for-Scotland	Other		closed
animal-and-plant-health-agency	Animal and Plant Health Agency	government/organisations/animal-and-plant-health-agency	Executive agency		
animal-health	Animal Health	government/organisations/animal-health	Executive agency		01/04/2011
animal-health-and-veterinary-laboratories-agency	Animal Health and Veterinary Laboratories Agency	government/organisations/animal-health-and-veterinary-laboratories-agency	Executive agency		01/04/2011
animal-procedures-committee	Animal Procedures Committee	government/organisations/animal-procedures-committee	Other		2012-12
animals-in-science-committee	Animals in Science Committee	government/organisations/animals-in-science-committee	Advisory non-departmental public body		
appeals-service-agency	Appeals Service Agency	government/organisations/appeals-service-agency	Executive agency		
architects-registration-board	Architects Registration Board	government/organisations/architects-registration-board	Public corporation		
armagh-observatory-and-planetarium	Armagh Observatory and Planetarium	government/organisations/armagh-observatory-and-planetarium	Other		
armed-forces-pay-review-body	Armed Forces' Pay Review Body	government/organisations/armed-forces-pay-review-body	Advisory non-departmental public body		
armed-forces-personnel-administration-agency	Armed Forces Personnel Administration Agency	government/organisations/armed-forces-personnel-administration-agency	Executive agency		2007-04
army-base-repair-organisation	Army Base Repair Organisation	government/organisations/army-base-repair-organisation	Executive agency		01/04/2008
arts-and-humanities-research-council	Arts and Humanities Research Council	government/organisations/arts-and-humanities-research-council	Executive non-departmental public body		
arts-council-england	Arts Council England	government/organisations/arts-council-england	Executive non-departmental public body		
arts-council-of-northern-ireland	Arts Council of Northern Ireland	government/organisations/arts-council-of-northern-Ireland	Executive agency		
arts-council-of-wales	Arts Council of Wales	government/organisations/arts-council-of-wales	Other		
