website	start-date	end-date	name
https://www.gov.uk/government/organisations/administrative-justice-and-tribunals-council		2013-08-19	
https://www.gov.uk/government/organisations/adult-learning-inspectorate		2007-04	
https://www.gov.uk/government/organisations/advisory-committee-on-pesticides		2015-03	
https://www.gov.uk/government/organisations/advisory-panel-on-public-sector-information		2015-10	
https://www.gov.uk/government/organisations/airports-commission		2015-07	
https://www.gov.uk/government/organisations/alcohol-education-and-research-council		2011-03-28	
https://www.gov.uk/government/organisations/ancient-monuments-board-for-Scotland		closed	
https://www.gov.uk/government/organisations/animal-health		2011-04-01	
https://www.gov.uk/government/organisations/animal-health-and-veterinary-laboratories-agency		2011-04-01	
https://www.gov.uk/government/organisations/animal-procedures-committee		2012-12	
https://www.gov.uk/government/organisations/armed-forces-personnel-administration-agency		2007-04	
https://www.gov.uk/government/organisations/army-base-repair-organisation		2008-04-01	
https://www.gov.uk/government/organisations/asset-protection-agency		2012-12-31	
https://www.gov.uk/government/organisations/assets-recovery-agency		2008-04-01	
https://www.gov.uk/government/organisations/audit-commission		2015-03-31	
https://www.gov.uk/government/organisations/behavioural-insights-team		2014-02-05	
https://www.gov.uk/government/organisations/british-educational-communications-and-technology-agency		2011-03-31	
https://www.gov.uk/government/organisations/british-potato-council		2008-04-01	
https://www.gov.uk/government/organisations/broadcasting-standards-commission		2003-12-29	
https://www.gov.uk/government/organisations/building-research-establishment		1997	
https://www.gov.uk/government/organisations/business-development-service		2006-04-01	
https://www.gov.uk/government/organisations/buying-solutions		2010-06	
https://www.gov.uk/government/organisations/capacitybuilders		2011-03-31	
https://www.gov.uk/government/organisations/central-office-of-information		2011-12-30	
https://www.gov.uk/government/organisations/central-police-training-and-development-authority		2007-03-31	
https://www.gov.uk/government/organisations/central-science-laboratory		2009-03-31	
https://www.gov.uk/government/organisations/child-maintenance-and-enforcement-commission		2012-07-30	
https://www.gov.uk/government/organisations/childrens-workforce-development-council		2012-03-31	
https://www.gov.uk/government/organisations/co2sense		2012-03	
https://www.gov.uk/government/organisations/commission-for-health-improvement		2004-03-31	
https://www.gov.uk/government/organisations/commission-for-patient-and-public-involvement-in-health		2008-03-31	
https://www.gov.uk/government/organisations/commission-for-racial-equality		2007-10-01	
https://www.gov.uk/government/organisations/commission-for-rural-communities		2013-03	
https://www.gov.uk/government/organisations/commission-for-the-compact		2011-03-31	
https://www.gov.uk/government/organisations/community-fund		2006-11-30	
https://www.gov.uk/government/organisations/competition-commission		2014-04-01	
https://www.gov.uk/government/organisations/consumer-focus		2014-04-01	
https://www.gov.uk/government/organisations/council-for-healthcare-regulatory-excellence		2012	
https://www.gov.uk/government/organisations/council-for-the-central-laboratory-of-the-research-councils		2007-04-01	
https://www.gov.uk/government/organisations/countryside-agency		2006-10-02	
https://www.gov.uk/government/organisations/criminal-justice-inspection-northern-Ireland		closed	
https://www.gov.uk/government/organisations/criminal-records-bureau		2012-12-01	
https://www.gov.uk/government/organisations/crown-agents-holding-and-realisation-board		2008-03-31	
https://www.gov.uk/government/organisations/defence-analytical-services-agency		2008-04-01	
https://www.gov.uk/government/organisations/defence-aviation-repair-agency		2008-04-01	
https://www.gov.uk/government/organisations/defence-bills-agency		2007-04-01	
https://www.gov.uk/government/organisations/defence-estates		2011-04-01	
https://www.gov.uk/government/organisations/defence-medical-education-and-training-agency		2008-04-01	
https://www.gov.uk/government/organisations/defence-procurement-agency		2007-04-01	
https://www.gov.uk/government/organisations/defence-storage-and-distribution-agency		2009-04-01	
https://www.gov.uk/government/organisations/defence-support-group		2015-03-31	
https://www.gov.uk/government/organisations/defence-transport-and-movements-agency		2007-04-01	
https://www.gov.uk/government/organisations/defence-vetting-agency		2012-04-01	
https://www.gov.uk/government/organisations/dental-practice-board		2006-03-31	
https://www.gov.uk/government/organisations/dental-vocational-training-authority		2006-03-31	
https://www.gov.uk/government/organisations/department-for-business-innovation-skills		2016-07-14	
https://www.gov.uk/government/organisations/department-for-education-and-skills		2007	
https://www.gov.uk/government/organisations/department-for-innovation-universities-and-skills		2009-06	
