name	government-organisation
Office of Qualifications and Examinations Regulation	D109
Office of Communications	OT385
Business, Innovation and Skills	D3
Department of Culture, Media and Sport	D5
Office of the Rail Regulator and International Rail Regulator (ORR)	D1117
Office of the Rail and ROAD (ORR) DFT	D1117
Driver & Vehicle Licensing Agency (DVLA) (DFT)	D9
Office for Standards in Education, Children's Services and Skills (OFSTED)	D106
Higher Education Funding Council for England	PB120
Office of Gas and Electricity Markets	D108
Office of Gas and Electricity Markets (Ofgem)	D108
MOJ - MINISTRY OF JUSTICE HQ	D18
YOUTH JUSTICE BOARD	PB302
THE CROWN ESTATE OFFICE	OT100
HIGH SPEED 2	PB460
Land Registry	D69
Charity Commission for England and Wales	D98
Office of Water Services (Ofwat)	D240
Parole Board of England and Wales	PB301
High Speed 2 Ltd	PB460
UK Supreme Court	D435
Royal Armouries	PB182
Historic England (NB shown as English Heritage/Historic England on 2015)	PB1164
Visit Britain	PB186
Visit England	PB376
Traffic Commissioners and Deputies	PB465
Transport Focus/Passengers' Council	PB1118
Social Mobility Commission (Social Mobility and Poverty Commission in PB 2015)	PB1193
Committee on Fuel Poverty (Fuel Poverty Advisory Committee in PB 2015)	PB1172
Directly Operated Railways Ltd	PB459
Disabled People's Employment Corporation (GB) Ltd	PB1152
Export Credits Guarantee Department	D241
National Savings and Investments	EA104
National Savings and Investments (NS&I)	EA104
Innovate UK (formerly the Technology Strategy Board)	PB1078
Law Commission of England and Wales	PB294
National DNA Database Ethics Group (NDNADEG)	PB276
National Heritage Memorial Fund/Heritage Lottery Fund	PC390
Northern Lighthouse Board (Commissioners of Northern Lighthouses)	PB463
Reviewing Committee on the Export of Works of Art	PB382
Royal Mint Advisory Committee on the design of coins, medals, seals and decorations	PB434
Science Advisory Committee on the Medical Implications of Less-Lethal Weapons	PB402
United Kingdom Sports Council	PB185
Driving Standard Agency (DSA)	EA75
English Heritage/ Historic England	PB168
Her Majesty's Passport Office (formerly the Identity and Passport Service)	EA66
Prison Services Pay Review Body	PB446
Police Advisory Board of England and Wales	PB273
