government-organisation	abbreviation	government-organisation-type	govuk	name	website	parent-govuks
D1	AGO	Ministerial department	attorney-generals-office	Attorney General's Office	https://www.gov.uk/government/organisations/attorney-generals-office	
D2		Ministerial department	cabinet-office	Cabinet Office	https://www.gov.uk/government/organisations/cabinet-office	
D3	BIS	Ministerial department	department-for-business-innovation-skills	Department for Business, Innovation & Skills	https://www.gov.uk/government/organisations/department-for-business-innovation-skills	
D4	DCLG	Ministerial department	department-for-communities-and-local-government	Department for Communities and Local Government	https://www.gov.uk/government/organisations/department-for-communities-and-local-government	
D5	DCMS	Ministerial department	department-for-culture-media-sport	Department for Culture, Media & Sport	https://www.gov.uk/government/organisations/department-for-culture-media-sport	
D6	DfE	Ministerial department	department-for-education	Department for Education	https://www.gov.uk/government/organisations/department-for-education	
D7	Defra	Ministerial department	department-for-environment-food-rural-affairs	Department for Environment, Food & Rural Affairs	https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs	
D8	DFID	Ministerial department	department-for-international-development	Department for International Development	https://www.gov.uk/government/organisations/department-for-international-development	
D9	DFT	Ministerial department	department-for-transport	Department for Transport	https://www.gov.uk/government/organisations/department-for-transport	
D10	DWP	Ministerial department	department-for-work-pensions	Department for Work and Pensions	https://www.gov.uk/government/organisations/department-for-work-pensions	
D11	DECC	Ministerial department	department-of-energy-climate-change	Department of Energy & Climate Change	https://www.gov.uk/government/organisations/department-of-energy-climate-change	
D12	DH	Ministerial department	department-of-health	Department of Health	https://www.gov.uk/government/organisations/department-of-health	
D13	FCO	Ministerial department	foreign-commonwealth-office	Foreign & Commonwealth Office	https://www.gov.uk/government/organisations/foreign-commonwealth-office	
D15	HMT	Ministerial department	hm-treasury	HM Treasury	https://www.gov.uk/government/organisations/hm-treasury	
D16	Home Office	Ministerial department	home-office	Home Office	https://www.gov.uk/government/organisations/home-office	
D17	MOD	Ministerial department	ministry-of-defence	Ministry of Defence	https://www.gov.uk/government/organisations/ministry-of-defence	
D18	MOJ	Ministerial department	ministry-of-justice	Ministry of Justice	https://www.gov.uk/government/organisations/ministry-of-justice	
D19	NIO	Ministerial department	northern-ireland-office	Northern Ireland Office	https://www.gov.uk/government/organisations/northern-ireland-office	
D20	OAG	Ministerial department	office-of-the-advocate-general-for-scotland	Office of the Advocate General for Scotland	https://www.gov.uk/government/organisations/office-of-the-advocate-general-for-scotland	
D21	OLHC	Ministerial department	the-office-of-the-leader-of-the-house-of-commons	Office of the Leader of the House of Commons	https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons	cabinet-office
D22	OLHL	Ministerial department	office-of-the-leader-of-the-house-of-lords	Office of the Leader of the House of Lords	https://www.gov.uk/government/organisations/office-of-the-leader-of-the-house-of-lords	cabinet-office
D23	Scotland Office	Ministerial department	scotland-office	Scotland Office	https://www.gov.uk/government/organisations/scotland-office	
D24	WO	Ministerial department	office-of-the-secretary-of-state-for-wales	Office of the Secretary of State for Wales	https://www.gov.uk/government/organisations/office-of-the-secretary-of-state-for-wales	
D25	HMRC	Non-ministerial department	hm-revenue-customs	HM Revenue & Customs	https://www.gov.uk/government/organisations/hm-revenue-customs	
EA26	Companies House	Executive agency	companies-house	Companies House 	https://www.gov.uk/government/organisations/companies-house	department-for-business-energy-and-industrial-strategy
PB27	SLC	Executive non-departmental public body	student-loans-company	Student Loans Company	https://www.gov.uk/government/organisations/student-loans-company	department-for-education
PB28	Acas	Executive non-departmental public body	acas	Advisory, Conciliation and Arbitration Service	https://www.gov.uk/government/organisations/acas	department-for-business-energy-and-industrial-strategy
PB29	NFA	Executive agency	national-fraud-authority	National Fraud Authority	https://www.gov.uk/government/organisations/national-fraud-authority	home-office
D30	TSol	Non-ministerial department	treasury-solicitor-s-department	Treasury Solicitor’s Department	https://www.gov.uk/government/organisations/treasury-solicitor-s-department	attorney-generals-office
EA31		Executive agency	uk-space-agency	UK Space Agency	https://www.gov.uk/government/organisations/uk-space-agency	department-for-business-energy-and-industrial-strategy
EA32	the Insolvency Service	Executive agency	insolvency-service	The Insolvency Service	https://www.gov.uk/government/organisations/insolvency-service	department-for-business-energy-and-industrial-strategy
EA33	NMO	Executive agency	national-measurement-office	National Measurement Office	https://www.gov.uk/government/organisations/national-measurement-office	department-for-business-innovation-skills
EA34	IPO	Executive agency	intellectual-property-office	Intellectual Property Office	https://www.gov.uk/government/organisations/intellectual-property-office	department-for-business-energy-and-industrial-strategy
EA37	FSC	Other	fire-service-college	Fire Service College	https://www.gov.uk/government/organisations/fire-service-college	
D38	OS	Non-ministerial department	ordnance-survey	Ordnance Survey	https://www.gov.uk/government/organisations/ordnance-survey	department-for-business-energy-and-industrial-strategy
EA39	The Planning Inspectorate	Executive agency	planning-inspectorate	Planning Inspectorate	https://www.gov.uk/government/organisations/planning-inspectorate	department-for-communities-and-local-government;welsh-government
EA40	QEIICC	Executive agency	queen-elizabeth-ii-conference-centre	Queen Elizabeth II Conference Centre	https://www.gov.uk/government/organisations/queen-elizabeth-ii-conference-centre	department-for-communities-and-local-government
EA41	Royal Parks	Executive agency	royal-parks	Royal Parks	https://www.gov.uk/government/organisations/royal-parks	department-for-culture-media-sport
EA42	Dstl	Executive agency	defence-science-and-technology-laboratory	Defence Science and Technology Laboratory	https://www.gov.uk/government/organisations/defence-science-and-technology-laboratory	ministry-of-defence
EA44	DSG	Executive agency	defence-support-group	Defence Support Group	https://www.gov.uk/government/organisations/defence-support-group	ministry-of-defence
EA46		Executive agency	met-office	Met Office	https://www.gov.uk/government/organisations/met-office	department-for-business-energy-and-industrial-strategy
EA49	SCE	Executive agency	service-children-s-education	Service Children's Education	https://www.gov.uk/government/organisations/service-children-s-education	ministry-of-defence
EA50	SPVA	Executive agency	service-personnel-and-veterans-agency	Service Personnel and Veterans Agency	https://www.gov.uk/government/organisations/service-personnel-and-veterans-agency	ministry-of-defence
EA51	UKHO	Executive agency	uk-hydrographic-office	UK Hydrographic Office	https://www.gov.uk/government/organisations/uk-hydrographic-office	ministry-of-defence
EA52	AHVLA	Executive agency	animal-health-and-veterinary-laboratories-agency	Animal Health and Veterinary Laboratories Agency	https://www.gov.uk/government/organisations/animal-health-and-veterinary-laboratories-agency	department-for-environment-food-rural-affairs
EA53	Cefas	Executive agency	centre-for-environment-fisheries-and-aquaculture-science	Centre for Environment, Fisheries and Aquaculture Science	https://www.gov.uk/government/organisations/centre-for-environment-fisheries-and-aquaculture-science	department-for-environment-food-rural-affairs
EA54		Executive agency	forest-research	Forest Research	https://www.gov.uk/government/organisations/forest-research	forestry-commission
EA55	FEE	Executive agency	forest-enterprise-england	Forest Enterprise (England) 	https://www.gov.uk/government/organisations/forest-enterprise-england	forestry-commission
EA56	Fera	Executive agency	the-food-and-environment-research-agency	The Food and Environment Research Agency	https://www.gov.uk/government/organisations/the-food-and-environment-research-agency	department-for-environment-food-rural-affairs
PB57	MMO	Executive non-departmental public body	marine-management-organisation	Marine Management Organisation	https://www.gov.uk/government/organisations/marine-management-organisation	department-for-environment-food-rural-affairs
EA58	RPA	Executive agency	rural-payments-agency	Rural Payments Agency	https://www.gov.uk/government/organisations/rural-payments-agency	department-for-environment-food-rural-affairs
EA60	VMD	Executive agency	veterinary-medicines-directorate	Veterinary Medicines Directorate	https://www.gov.uk/government/organisations/veterinary-medicines-directorate	department-for-environment-food-rural-affairs
EA61	FCOS	Executive agency	fco-services	FCO Services	https://www.gov.uk/government/organisations/fco-services	foreign-commonwealth-office
EA62	Wilton Park	Executive agency	wilton-park	Wilton Park	https://www.gov.uk/government/organisations/wilton-park	foreign-commonwealth-office
EA63	MHRA	Executive agency	medicines-and-healthcare-products-regulatory-agency	Medicines and Healthcare products Regulatory Agency	https://www.gov.uk/government/organisations/medicines-and-healthcare-products-regulatory-agency	department-of-health
EA66	HM Passport Office	Sub-organisation	hm-passport-office	HM Passport Office	https://www.gov.uk/government/organisations/hm-passport-office	home-office
EA67	UKBA	Executive agency	uk-border-agency	UK Border Agency	https://www.gov.uk/government/organisations/uk-border-agency	home-office
D69	Land Registry	Non-ministerial department	land-registry	Land Registry	https://www.gov.uk/government/organisations/land-registry	department-for-business-energy-and-industrial-strategy
EA70	NOMS	Executive agency	national-offender-management-service	National Offender Management Service	https://www.gov.uk/government/organisations/national-offender-management-service	ministry-of-justice
EA71		Non-ministerial department	the-national-archives	The National Archives	https://www.gov.uk/government/organisations/the-national-archives	department-for-culture-media-sport
EA72	OPG	Executive agency	office-of-the-public-guardian	Office of the Public Guardian	https://www.gov.uk/government/organisations/office-of-the-public-guardian	ministry-of-justice
EA73	HMCTS	Executive agency	hm-courts-and-tribunals-service	HM Courts & Tribunals Service	https://www.gov.uk/government/organisations/hm-courts-and-tribunals-service	ministry-of-justice
EA74	DVLA	Executive agency	driver-and-vehicle-licensing-agency	Driver and Vehicle Licensing Agency	https://www.gov.uk/government/organisations/driver-and-vehicle-licensing-agency	department-for-transport
EA75	DSA	Executive agency	driving-standards-agency	Driving Standards Agency	https://www.gov.uk/government/organisations/driving-standards-agency	department-for-transport
EA77	HA	Executive agency	highways-agency	Highways Agency	https://www.gov.uk/government/organisations/highways-agency	department-for-transport
EA78	MCA	Executive agency	maritime-and-coastguard-agency	Maritime and Coastguard Agency	https://www.gov.uk/government/organisations/maritime-and-coastguard-agency	department-for-transport
