urn	name	type
10043283	1 Logistics Support Regiment	Cross Service
10006790	1 PWO Dale Barracks	TBA
10040379	1 R Anglian Regiment	TBA
10006791	1 Royal Welsh Fusiliers	TBA
10004865	1 Staffords	TBA
10040347	1 UK Armoured Division	TBA
10006450	103 Battalion Reme V	TBA
10040390	104th Regiment Royal Artillery	TBA
10023576	11 EOD Regiment	TBA
10040417	12th Mechanised Brigade Headquarters	TBA
10032674	14th Signal Regiment	TBA
10004866	15 Rgt Rlc	TBA
10040374	15 Signal Regiment Information Support	TBA
10005315	151 Greater London Regt Rct V	TBA
10040357	153 Thiepval Barracks	TBA
10006795	16 Regiment	TBA
10040382	16 Regiment Royal Artillery	TBA
10040410	17 Port and Maritime Regiment RLC	TBA
10006796	170 Community Project	TBA
10040399	1710 Naval Air Squadron	TBA
10023575	18 Signals Regiment	TBA
10004502	19 Mech Bde and Catterick Garrison HQ	TBA
10040420	1st Battalion Genadier Guards Lille Barracks	TBA
10042275	1st Battalion The Royal Welsh	None
10005925	2 NC Signal Brigade HQ	TBA
10004123	2 SSU	TBA
10004503	2 SSU HQ	TBA
10040368	225Â Divisional General SupportÂ Medical RegimentÂ VÂ RHQ	TBA
10004615	23 Pioneer Regiment	TBA
10001426	2358 Ferndown Squadron	TBA
10001567	24 Bde HQ	TBA
10040376	24 Commando Engineer Regiment	TBA
10031010	251 Signal Squadron	TBA
10040404	256 Field Hospital	TBA
10001114	29 CDO REGT RA	TBA
10040386	299 Signal Squadron	TBA
10040402	2nd Battalion TheÂ Duke of Lancaster'sÂ Regiment	TBA
10040419	2nd Battalion TheÂ Royal Welsh	TBA
10040373	2nd Infantry Training Battalion	TBA
10040397	3 Commando Royal Marines OC	TBA
10040375	3 Military Intelligence Battalion	TBA
10004504	3 RMA	TBA
10005927	3 UK Div HQ	TBA
10040396	30 Commando Exploitation Group	TBA
10006383	30 Signal Regiment	TBA
10041346	38 Irish Brigade	TBA
10006799	383 CDO PET TP RLC V	TBA
10040381	39 Engineer Regiment	TBA
10035008	39 Signal Regiment	TBA
10040383	4 Para V	TBA
10004975	40 Commando Royal Marines	TBA
10002318	41 Sqn Rct Lex Trans Fleet	TBA
10006800	42 Engineer Regiment Geographic	TBA
10028808	45 Commando Royal Marines	TBA
10040388	49 East Brigade	TBA
10040416	4th Battalion The Rifles	TBA
10004791	51 Highland Brigade HQ	TBA
10002319	63 Signal Squadron	TBA
10040403	7 Rifles	TBA
10040367	71 Signal Regiment	TBA
10006805	7th St Georges Scouts	TBA
10025691	Aberdare Coroners Court	TBA
10028605	Aberdeen University Officer Training Corps	TBA
10051198	Accelerated Access Review	Other
10002322	Accommodation Stores	TBA
10029923	ACIO Southampton	TBA
10006845	ADIT East	Executive Agency
10023324	ADIT London	Purchasing Consortium
10013052	ADIT North West	TBA
10005630	ADIT South East	TBA
10019005	Adjudicator to HM Land Registry	Executive Agency
10029179	Adjutant RTC	TBA
10051199	Administration of Radioactive Substances Advisory Committee	Advisory non-departmental public body
10051200	Administrative Court	Court
10023204	Administrative Justice and Tribunals Council	NDPB
10051201	Admiralty Court	Court
10006850	Advantage West Midlands	NDPB
10021788	Advisory Committee for the Public Lending Right	TBA
10051202	Advisory Committee on Animal Feedingstuffs	Advisory non-departmental public body
10051203	Advisory Committee on Business Appointments	Advisory non-departmental public body
10021789	Advisory Committee on Clinical Excellence Awards	Advisory non-departmental public body
10051204	Advisory Committee on Conscientious Objectors	Advisory non-departmental public body
10019925	Advisory Committee on Hazardous Substances	NDPB
10051205	Advisory Committee on Novel Foods and Processes	Advisory non-departmental public body
10019926	Advisory Committee on Packaging	NDPB
10019928	Advisory Committee on Releases to the Environment	NDPB
