oscar	name
ACA084	ADVISORY, CONCILIATION AND ARBITRATION SERVICE
ACD022	ACADEMIES
ACE048	ARTS COUNCIL
ACL048	ARTS COUNCIL OF ENGLAND LOTTERY
AFS902	Armed Forces Pension and Compensation Schemes
AHC084	ARTS AND HUMANITIES RESEARCH COUNCIL
AHD003	AGRICULTURE & HORTICULTURE DEVELOPMENT BOARD
ANT048	UNITED KINGDOM ANTI DOPING
ATT004	Air Travel Trust
BBB084	British Business Bank plc
BBC048	BRISTISH BROADCASTING CORPORATION
BFI048	BRITISH FILM INSTITUTE
BIS084	Department for Business Innovation and Skills
BLF048	BIG LOTTERY FUND
BPA084	BIS (Postal Services Act 2011) Company Limited
BRC084	BIOTECHNOLOGY & BIOLOGICAL SCIENCES RESEARCH CNCL
BRM048	BRITISH MUSEUM
BTP004	BRITISH TRANSPORT POLICE AUTHORITY
CAB010	Cabinet Office
CAF047	CAFCASS
CAL085	Commission for Local Administration CLG Main
CCC066	COMMITTEE ON CLIMATE CHANGE
CCR047	CRIMINAL CASES REVIEW COMMISSION
CCT048	CHURCHES CONSERVATION TRUST
CES014	Crown Estate Office
CFD066	CFD COUNTERPARTY COMPANY
CFW003	CONSUMER COUNCIL FOR WATER
CGM003	COVENT GARDEN MARKET AUTHORITY
CHR033	COUNCIL FOR HEALTHCARE REGULTORY EXCELLENCE
CIL004	Commissioners of Irish Lights
CIT084	CONSTRUCTION INDUSTRY TRAINING BOARD
CJA047	JUDICIAL APPOINTMENTS COMMISSION
CMA076	Competition and Markets Authority
CMB066	CAPACITY MARKET SETTLEMENTS BODY
CNC066	CIVIL NUCLEAR POLICE AUTHORITY AND CONSTABULARY
COL066	COAL AUTHORITY
COM085	CLG COMMUNITIES
COP034	College of Policing
CPS016	THE CROWN PROSECUTION SERVICE
CQC033	CARE QUALITY COMMISSION
CSC030	COMMONWEALTH SCHOLARSHIP COMMISSION
CSE084	COMPETITION SERVICE
CSS010	CIVIL SERVICE COMMISSION
DBS034	DISCLOSURE AND BARRING SERVICE (DBS)
DCM048	Department for Culture, Media and Sport
DEC066	Department of Energy and Climate Change
DFE022	Department for Education
DFT004	Department for Transport
DID030	Department for International Development
DLS084	Diamond Light Source Limited
DOH033	DEPARTMENT OF HEALTH (NHS)
DPC032	DISABLED PEOPLE'S EMPLOYMENT CORP (GB) LTD (NET)
DVA099	DRIVER AND VEHICLE TESTING AGENCY
DWP032	Department for Work and Pensions
EBF085	EBBSFLEET DEVELOPMENT CORPORATION
EFR003	Department for Environment, Food and Rural Affairs
EHG048	ENGLISH HERITAGE
EHL084	ENRICHMENT HOLDINGS LTD
EIT084	ENGINEERING CONSTRUCTION INDUSTRY TRAINING BOARD
ENV003	ENVIRONMENT AGENCY
EPS084	ENGINEERING AND PHYSICAL SCIENCES RESEARCH COUNCIL
ESR084	ECONOMIC AND SOCIAL RESEARCH COUNCIL
FCL048	UK FILM COUNCIL LOTTERY
FCO027	Foreign and Commonwealth Office
FLA048	FOOTBALL LICENSING AUTHORITY
FLR003	FLOOD RE
FRC084	Financial Reporting Council Limited
FSA026	Food Standards Agency
FSV087	FINANCIAL SERVICES COMPENSATION SCHEME
FTR033	FOUNDATION TRUSTS
GBG048	THE GAMBLING COMMISSION
GIB084	UK Green Investment Bank plc
GLA034	GANGMASTERS LICENSING AUTHORITY HOF034
HCA085	HOME AND COMMUNITIES AGENCY
HEE033	HEALTH EDUCATION ENGLAND
