Count,Name,Department,Classification,PB13 Entry,PB Reform,Regulatory Function,Description / Terms of Reference,Notes,Address,Phone,email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,Chair Paid or unpaid,Chair Male?,Chair Female?,Chair Gender Unknown/ undeclared?,Board Members Ministerial or non-ministerial Appt,Board Members Paid or unpaid,Male Board Members,Female Board Members,Gender Unknown/ undeclared Board Members,No. Bodies
1,Advisory Committee on Business Appointments,Cabinet Office,Advisory NDPB,FULL,Retain,No,The Committee provides independent advice when a senior Crown servant or former Minister leaves office and wishes to take up an outside appointment or employment.,Established 1975.  Staffed by a joint secretariat which also supports the Civil Service Commission and the House of Lords Appointments Commission . Secretary is Ekpe Attah. ,"G/08, Ground Floor, 1 Horse Guards Road, London SW1A 2HQ",020 7271 0839,acoba@acoba.gsi.gov.uk  ,http://acoba.independent.gov.uk,Sir Hugh Stevenson (interim Chair),"£8,000",Chief Executive of the Civil Service Commission (which provides secretariat services to ACOBA) = Clare Salters,"£65,000-£70,000",No,Yes,Yes,-,2012-13,-,"£269,000","£196,000",2.3,NAO as part of audit of Civil Service Commission's accounts,Yes,Ministerial ,Paid,1,0,0,Ministerial,Paid,4,2,0,1
1,Big Lottery Fund,Cabinet Office,Executive NDPB,FULL,Retain,No,"The Big Lottery Fund (BLF) distributes its 40% share of National Lottery good causes money to bring real improvements to communities and the lives of people most in need. While sponsored by Cabinet Office, BLF is also financially accountable to Department for Culture, Media and Sport for management of its lottery money. ","Predecessor body established 1994; BLF established by the National Lottery Act 2006.  CEO Peter Wanless left 31/5/13; acting CEO 1/6/13 to 30/9/13 Ceri Doyle; new CEO - Dawn Austwick - took up post 1/10/13.  CEO's remuneration is for Dawn Austwick, for a full year.  Nil government funding - funded from National Lottery proceeds. Triennial Review report published June 2014. ","1 Plough Place, London, EC4A 1DE",020 7211 1800,general.enquiries@biglotteryfund.org.uk ,http://www.biglotteryfund.org.uk/,Peter Ainsworth,"£28,800",Dawn Austwick,"£140,000 -  £145,000 ",No,Yes,Yes,PHSO,2013-14,2013-14,£0,"£970,506,000",992,NAO,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid ,7,3,0,1
1,Boundary Commission for England,Cabinet Office,Advisory NDPB,FULL,-,No,The Commissions statutory function is to keep under review the distribution of constituencies in England and to make reports with recommendations every 5 years in accordance with the provisions of the Parliamentary Constituencies Act 1986 (as amended).,"Established 1944.  The Chair of the Commission is the Speaker of the House of Commons ex officio, but in practice he does not participate in the formulation of the Commissions recommendations, nor in the conduct of reviews.","1 Horse Guards Road, London SW1A 2HQ",020 7276 1102,information@bcommengland.gsi.gov.uk,http://consultation.boundarycommissionforengland.independent.gov.uk/,Speaker of the House of Commons (ex officio),£0,Tony Bellringer,Civil Servant,No,Yes,Yes,PHSO,2012-13,-,"£370,000","£284,189",2,NAO (as part of sponsor department accounts),Yes,Non-Ministerial,Unpaid,1,0,0,Ministerial,"2 Paid, 1 unpaid",3,0,0,1
1,Boundary Commission for Wales,Cabinet Office,Advisory NDPB,FULL,-,No,The Commissions statutory function is to keep under review the distribution of constituencies in Wales and to make reports with recommendations every 5 years in accordance with the provisions of the Parliamentary Constituencies Act 1986 (as amended).,"Established 1944.  The Chair of the Commission is the Speaker of the House of Commons ex officio, but in practice he does not participate in the formulation of the Commissions recommendations, nor in the conduct of reviews.","Ground Floor, Hastings House, Fitzalan Court, Cardiff, CF24 OBL",02920 464819,bcomm.wales@wales.gsi.gov.uk,http://bcomm-wales.gov.uk,Speaker of the House of Commons (ex officio),£0,Steve Halsall,Civil Servant,No,Yes,Yes,PHSO,2012-13,-,"£94,269","£94,269",4,WAO,Yes,Non Ministerial,Unpaid,1,0,0,Ministerial,"1 Unpaid, 2 paid",3,0,0,1
1,Civil Service Commission,Cabinet Office,Executive NDPB,FULL,-,Yes,Regulates recruitment to the Civil Service,"Established 1855, NDPB since 2011. Triennial review was announced in July 2014 and is due to complete in Autumn 2014. ","1 Horse Guards Road, London, SW1A 2HQ",020 7271 0831,info@csc.gsi.gov.uk,http://civilservicecommission.independent.gov.uk/,Sir David Normington GCB,"£85,000-£90,000",Clare Salters,"£65,000-£70,000",No,Yes,Yes,No,2013-14,-,"£1,431,000","£1,328,000",19.3,NAO,No,Ministerial,Paid,1,0,0,0,Paid,3,6,0,1
1,Committee on Standards in Public Life,Cabinet Office,Advisory NDPB,FULL,Retain,No,"The Committee examines standards of ethical conduct among public office holders in the UK and makes recommendations to the government as to any changes in present arrangements, including those relating to party funding.","Established 1994. Sir Christopher Kelly was Chair on 31 March 2013.  Lord Bew was appointed in September 2013.  Sir Christopher Kelly was paid a flat rate of £50,000 a year, which had remained unchanged since his appointment.  The new Chair is being paid on the basis of a non-pensionable salary of £500 per day, with the expectation that he should to commit an average of 2-3 days a month, although this can increase significantly during Committee inquiries. Between April and September 2013, the interim Chair, David Prince CBE, was paid on the same basis as Lord Bew.","1 Horse Guards Road, London, SW1A 2HQ",020 7271 0853,public@standards.gsi.gov.uk,http://www.public-standards.gov.uk/,Lord Bew,£500 per day,Ruth Thompson,Civil Servant,No,Yes,Yes,PHSO,2013-14,2013,"£400,000","£330,875",3,Overseen by the Cabinet Office Accounting Officer,Yes,Ministerial,Paid,1,0,0,Ministerial ,Paid,3,4,0,1
1,Government Procurement Service,Cabinet Office,Executive Agency,FULL,-,No,The Government Procurement Service (GPS) provides centralised commercial and procurement services for Government and the UK public sector,Established as the Buying Agency in 1991.  The Government Procurement Service is an Executive Agency and a Trading Fund.  GPS and other teams  came together to form the Crown Commercial Service on 1 April 2014. David Shields was MD until June 2013. Bill Crothers was chair until 31 August 2014 (unpaid for FY 13/14).,"9th Floor Capital Building, Old Hall Street, Liverpool L3 9PP",0345 410 2222,info@ccs.gsi.gov.uk,http://ccs.cabinetoffice.gov.uk/,Ed Smith,£0,Sally Collier,"£115,000-£120,000",No,No,Yes,PHSO,2013-14,-,-,"£45,127,000",483,NAO,No,Ministerial,Unpaid,1,0,0,Non-Ministerial,"4 Paid, 2 unpaid",7,0,0,1
1,House of Lords Appointments Commission,Cabinet Office,Advisory NDPB,FULL,Retain,No,The Commission's role is to select new independent members of the House of Lords and to vet party-political nominations put forward by the political parties.,Established 2000.  Staff are joint secretariat with Advisory Committee on Business Appointments. Supported by staff of the Civil Service Commission. Broadly equivalent to 2.3 FTE. ,"G5, Ground Floor, 1 Horse Guards Road, London SW1A 2HQ",020 7271 0848,enquiry@lordsappointments.gsi.gov.uk,http://lordsappointments.independent.gov.uk/,Lord Kakkar,"£8,000",Chief Executive of the Civil Service Commission (which provides secretariat services to HOLAC) and secretary = Clare Salters,"£65,000-£70,000",No,Yes,Yes,-,2011-12,2013,"£185,000","£205,000",2.3,NAO as part of audit of Civil Service Commission's accounts,Yes,Ministerial,Paid,1,0,0,Ministerial ,Paid,4,2,0,1
1,Security Vetting Appeals Panel,Cabinet Office,Advisory NDPB,FULL,Retain,No,To hear appeals against the refusal or withdrawal of security clearance and to make recommendations to the appropriate head of department.,Established 1997.,"The Secretary, Security Vetting Appeals Panel, Room 335, Cabinet Office, 70 Whitehall, London SW1A 2AS.",020 7276 5645,svap@cabinet-office.x.gsi.gov.uk,-,Sir George Newman,"£13,480 (£793 per day when sitting)",Martin Sterling,Civil Servant,No,No,Yes,-,2013,2013,"£56,000","£80,000",2,-,Yes,Ministerial,Paid,1,0,0,Ministerial,"8 Paid, 2 unpaid",8,2,0,1
1,Senior Salaries Review Body,Cabinet Office,Advisory NDPB,FULL,Retain,No,"The Review Body on Senior Salaries provides independent advice to the Prime Minister, the Lord Chancellor and the Secretary of State for Defence on the remuneration of holders of judicial office, senior civil servants, senior officers of the armed forces and other such public appointments as may from time to time be specified. ",Established 1971.  Members are paid per day.,"Office of Manpower Economics, 8th Floor, Fleetbank House, 2-6 Salisbury Square, London, EC4Y 8JX
",020 7211 8300,neil.higginbottom@bis.gsi.gov.uk ,http://www.ome.uk.com/Senior_Salaries_Review_Body.aspx,"Bill Cockburn, CBE TD","£11,500",-,-,No,No,Yes,-,-,2014,"£32,000","£32,000",-,NAO,Yes,1 Ministerial ,Paid,1,0,0,7 Ministerial ,Paid,5,2,-,1
