Number of Bodies,Name,Department,Classification,PB Reform,Regulatory Function,Description/Terms of Reference,Notes,Address,Phone,Email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,"Chair
Paid or unpaid","Chair
No.Male","Chair
No.Female","Chair
No.Gender Unknown/ undeclared","Members
Ministerial or non-ministerial Appt","Members
Paid or unpaid?","Members
No. Male","Members
No. Female","Members
No. Gender Unknown/ undeclared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Administration of Radioactive Substances Advisory Committee,Department of Health,Advisory NDPB,Retain,Yes,"To advise Health Ministers with respect to the grant, renewal, suspension, revocation and variation of certificates and generally in connection with the system of prior authorisation required by Article 5(a) of Council Directive 76/579/Euratom. This has been superseded by the Basic Safety Standard Directive  for radiation protection 059/2013 but not yet implemented into UK law.",The Committee was established in 1979. Secretariat provided by Public Health England.  Funding subsumed in PHE core funds.  Members are appointed by Health Ministers.  This is a Statutory Advisory Committee.,"ARSAC Support Unit, Centre for Radiation, Chemical and Environmental Hazards, Public Health England, Chilton, Didcot  OX11 0RQ",01235 825006/825007,arsac@phe.gov.uk,http://www.arsac.org.uk/,Dr John Rees,£0,Mr Steve Ebdon-Jackson,Civil Servant,No,No,Yes,PHSO,2008,2010,£0,£0,0,-,Yes,Ministerial,Unpaid,1,-,-,Ministerial,Unpaid,13,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Committee on Animal Feeding stuffs,Food Standards Agency,Advisory NDPB,-,No,"Advises on the safety and use of animal feeds and feeding practices, with particular emphasis on protecting human health, and with reference to new technical developments.",Established 1999.,"ACAF Secretariat, Food Standards Agency, Room 1b Aviation House, 125 Kingsway, London, WC2B 6NH",020 7276 8468,acaf@foodstandards.gsi.gov.uk,http://acaf.food.gov.uk/,Dr Ian Brown,"£1,330",Keith Millar,Civil Servant,Yes,Yes,Yes,PHSO,2013,2009,"£25,893","£25,893",3,-,No,Non Ministerial,paid,1,-,-,13 Members Joint FSA + UK Agricultural Ministerial,Paid ,8,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Committee on Business Appointments,Cabinet Office,Advisory NDPB,Retain,No,The Committee provides independent advice when a senior Crown servant or former Minister leaves office and wishes to take up an outside appointment or employment.,"Established 1975. Staff are joint secretariat with House of Lords Appointments Committee. Secretary is Ekpe Attah.  Government funding and total gross expenditure also consists of funding for OCPA, HOLAC, and CSC secretariats. Staff employed also includes staff for OCPA, HOLAC, and CSC secretariats.","G/7, Ground Floor, 1 Horse Guards Road, London SW1A 2HQ",020Ê7271Ê0839,acoba@acoba.gov.uk Ê,http://acoba.independent.gov.uk/,Baroness Angela Browning,"£8,000",Ekpe Attah,Civil Servant,No,Yes,Yes,-,2012-13,-,See entry for Civil Service Commission,See entry for Civil Service Commission,18,-,Yes,Ministerial,Paid,-,1,-,Ministerial,Paid,5,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Committee on Clinical Excellence Awards,Department of Health,Advisory NDPB,Retain,No,ACCEA administers the National Clinical Excellence Awards Scheme. It advises Ministers on which consultants should receive new National Awards and whether existing award holders have provided satisfactory evidence for renewal.,Secretariat is provided by the Department of Health.,"6th Floor, North side, Wellington House,  133-155 Waterloo Road, London SE1 8UG",020 7972 4608,martin.sturges@dh.gsi.gov.uk,https://www.gov.uk/government/organisations/advisory-committee-on-clinical-excellence-awards,Bill Worth,"£52,540",Dilvinder Dhillon (interim),Civil Servant,No,Yes,Yes,PHSO,2012,2015,£0,£0,0,Secretariat subject to DH internal audit,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Committee on Conscientious Objectors,Ministry of Defence,Advisory NDPB,Retain,No,The Committee is responsible for advising the Secretary of State for Defence on all claims to conscientious objection to further service in the Armed Forces made by officers and other ranks of the Armed Forces whose application for permission to retire or resign their commissions or for discharge have been refused by the Service authorities.,Established 1970.  When this body meets if the judge is salaried no fee is payable.,"06.F.12, MOD Main Building, Whitehall, London, SW1A 2HB",020 7218 0564,CLS-Sec1@mod.uk,https://www.gov.uk/government/organisations/advisory-committee-on-conscientious-objectors,HH Judge Joanna Korner CMG QC,£0,Tracy Sexton,Civil Servant,Yes,Yes,Yes,-,2009-10,2013,£0,£0,0,-,Yes,Non-Ministerial,Unpaid,-,1,-,"3 Ministerial, 1 Non-Ministerial ",Unpaid,3,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Advisory Committee on Justices of the Peace (x47),Ministry of Justice,Advisory NDPB,Merge,No,"To recruit, select and recommend to the Lord Chief Justice candidates with the necessary qualities for appointment as Justices of the Peace in England and Wales.",Established circa 1970s.  101 Committees were reorganised to 47 following a review in 2010.  Funding has been the responsibility of HM Courts & Tribunal Service since 1 April 2006.  Costs incurred come from within HM Courts Service expenditure.  Justices Clerk & Secretary and admin support staff are HMCTS employees.  Chairs & Members are unpaid volunteers ,"Judicial Office, 10th Floor, Thomas More Building, Royal Courts of Justice, Strand, London WC2A 2LL",020 7073 4778,jahan.noorrahman@judiciary.gsi.gov.uk,-,Multiple,£0,Justices' Clerks act as secretaries to the Advisory Committee,Civil Servants,No,No,Yes,-,2013-14,2012,£0,£0,0,NAO,Yes,Ministerial,Unpaid,33,19,-,Ministerial,Unpaid,261,254,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Committee on Novel Foods and Processes,Food Standards Agency,Advisory NDPB,-,No,Advises the FSA on any matters relating to novel foods (including genetically modified foods) and novel processes (including food irradiation).,Established 1988. Public Meetings: one open workshop held each year.,"ACNFP Secretariat, Room 1B Aviation House, 125 Kingsway, London, WC2B 6NH
",020 7276 8596,acnfp@foodstandards.gsi.gov.uk,http://acnfp.food.gov.uk/,Professor Peter Gregory,"£1,025",Dr Stephen Johnson,Civil Servant,Yes,Yes,Yes,PHSO,2012,2012,"£26,747","£26,747",1,-,No,Non Ministerial,paid,1,-,-,Non ministerial,Paid,7,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Advisory Committee on Pesticides,"Department for Environment, Food and Rural Affairs",Advisory NDPB,No longer an NDPB,No,To give advice to Ministers on any matters relating to the use of pesticides,Established as a statutory advisory committee in 1986 and abolished in March 2015 (26th).  Scheduled to become an Expert Committee. New Chair appointed Autumn 2014.  Payment for Chair/Members is on a fee per meeting basis.,"Secretariat: Chemicals Regulation Directorate, Health & Safety Executive, Mallard House, Kings Pool, 3 Peasholme Green, York YO1 7PX",01904 455983,acp@hse.gsi.gov.uk,http://www.pesticides.gov.uk/guidance/industries/pesticides/advisory-groups/acp,Prof William Cushley,fee per meeting only (£45 preparation fee & £180/day attendance fee),Grant Stark,Civil Servant,Yes,Yes,Yes,PHSO,2013,2010,"£50,000","£50,000",1,-,Yes,Ministerial,Paid,1,0,0,Ministerial,fee per meeting only (£36 preparation fee & £142/day attendance fee),14,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Committee on Releases to the Environment,"Department for Environment, Food and Rural Affairs",Advisory NDPB,Retain,No,To advise government on the risks to human health and the environment from the release of genetically modified organisms.,Established 1993 under the Environmental Protection Act 1990  ,"ACRE Secretariat, Defra, Area 3B, Nobel House, 17 Smith Square, London SW1P 3JR",020 7238 2051,acre.secretariat@defra.gsi.gov.uk,https://www.gov.uk/government/organisations/advisory-committee-on-releases-to-the-environment,Prof Rosemary Hails,£223 per day.,Dr Louise Ball,Civil Servant,Yes,Yes,Yes,PHSO,2013,2015,"£21,000","£21,000",1,-,Yes,Ministerial,Paid ,0,1,0,Ministerial ,Paid,10,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Advisory Committee on the Microbiological Safety of Food,Food Standards Agency,Advisory NDPB,-,No,"Provides expert advice to Government on questions relating to microbiological issues and food.
",Established 1990.,"ACMSF Secretariat, Room 1b Aviation House, 125 Kingsway, London, WC2B 6NH
",020 7276 8947,acmsf@foodstandards.gsi.gov.uk,http://acmsf.food.gov.uk/,Professor Sarah O'Brien,"£1,025",Andrew Spencer,Civil Servant,Yes,Yes,Yes,PHSO,2012-13,2011,"£28,000","£22,785",3,-,No,Non Ministerial,Paid,-,1,-,Non ministerial,Paid ,10,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
