abbreviation	government-organisation
aaib	OT248
aar	OT1137
acaf	PB573
acas	PB28
accea	OT522
acco	PB392
acjp	PB437
acmd	PB271
acmsf	PB575
acnfp	PB574
acnra	PB438
acoba	PB336
acp	PB208
acre	PB209
adhac	PB421
afprb	PB394
ago	D1
agomm	PB393
ahdb	OT204
ahrc	PB123
ahvla	EA52
ajtc	PB436
apha	EA1079
appsi	PB491
arb	PC163
arsac	PB523
asc	PB534
awc	PB420
bbb	OT1148
bbc	PC388
bbcws	PC427
bbsrc	PB317
bce	PB337
bcms	OT1051
bcni	OT428
bcs	OT431
bcw	OT432
becta	EA932
beis	D1198
bf	OT535
bfi	PB189
bhc	PB124
big	PB188
bis	D3
bit	OT520
bl	PB166
bm	PB167
brac	PB160
brbr	PC467
brdo	OT569
btpa	PB461
bvd	OT564
c4	PC386
caa	PC469
cac	PB148
cafcass	PB246
cat	PB140
cc	PB353
ccc	PB196
ccrc	IM320
ccs	EA1015
ccwater	PB198
cde	OT1064
cefas	EA53
cesg	OT563
cfel	PB147
cfp	PB1172
cfra	OT504
cgma	OT214
chevening	OT492
chm	PB525
cica	PB297
citb	PB126
cjc	PB293
cma	D550
cnc	OT1063
cnpa	PB194
co	D2
com	PB526
corwm	PB191
cot	PB576
cpni	OT567
cprc	PB440
cps	D101
cqc	PB251
cs	PB318
csc	PB366
cspl	PB158
csr	OT1055
cst	PB121
cwdc	OT915
da	OT405
dbs	PB509
dcal	DA1146
dclg	D4
dcms	D5
ddat	OT1182
ddrb	PB530
de&s	OT495
deca	EA1113
decc	D11
defra	D7
dexeu	D1197
dfe	D6
dfid	D8
dft	D9
dh	D12
dio	OT496
dit	D1196
dit dso	OT1026
dmo	EA82
dnpa	OT217
dnsc	PB396
dor	PB459
dpbac	OT408
dpec	PB1152
dpmo	OT537
dptac	PB247
dsa	OT1191
dsac	PB397
dsfc	OT411
dsg	EA44
dsma	OT1153
dstl	EA42
dvla	EA74
dvs	OT1080
dvsa	EA570
dwi	OT425
dwp	D10
