coins	government-organisation
AAL022	
ABR017	EA816
ACA084	PB28
ACE048	
ACI202	EA740
ACL048	
ACW090	OT731
AER033	OT721
AER048	
AFS902	
AHB022	
AHC063	PB123
AHC084	
AHD003	OT204
AHF048	
ALI022	OT786
ANL850	
APO202	
ARA035	EA698
ARI201	
ATT004	
AUC085	PC343
AWC090	
AWL090	
BBC048	
BCC084	
BCL027	OT313
BEC022	EA932
BEL203	
BFI048	PB189
BHC084	PB124
BNC084	
BPC003	OT887
BRB004	
BRC063	PB317
BRC084	
BRL048	PB166
BRM048	PB167
BRS084	
BSA022	
BTA048	PB186
BTI013	D117
BTP004	
BTS208	
BWB003	
BYA087	
CAA004	PC469
CAB010	D2
CAE048	
CAP010	
CAR030	OT754
CCL084	OT841
CCP084	
CCR034	
CCR047	IM320
CCT048	
CCW090	
CDC030	
CDF034	
CDF085	OT760
CDS084	
CEA203	OT644
CES014	OT100
CFA022	PB246
CFO084	
CFT048	PC386
CFW003	PB198
CGM003	OT214
CHA033	
CHC009	D98
CHI033	OT683
CHS208	
CIC034	
CIC047	PB297
CIP034	
CIT022	
CIT063	PB126
CJA047	
CJI097	OT772
CLA085	
CLW090	
CMB075	
CMC084	PB353
CNA003	EA729
CNC066	
CNC084	
CNT004	
COH084	EA26
COI010	OT846
COL066	PB195
COL084	
COR211	
CPP033	OT822
CPS016	D101
CPT034	OT819
CQC033	PB251
CRA075	
CRC075	
CRE034	OT676
CRU003	OT890
CSC033	
CSE084	PB318
CVH085	
CWA090	
CWD022	OT915
DAN017	EA717
DAR201	
DCA202	DA1146
DCL084	OT893
DCM048	D5
DEC066	D11
DEL207	
DEN206	D591
DES022	D609
DET204	
DFP205	
DFT004	D9
DHB004	
DID030	D8
DIS063	D608
DMB075	
DNS049	EA104
DOA004	
DOF061	OT537
DOH033	D12
DPM085	D4
DRC032	OT711
DRD209	
DSA004	EA75
DSD210	
DSG017	EA44
DST017	EA42
DTI084	D611
DVL004	EA74
DWP032	D10
E0101	
E0102	
E0103	
E0104	
E0201	
E0221	
E0231	
E0233	
E0234	
E0301	
E0302	
E0303	
E0304	
E0305	
E0306	
E0401	
E0421	
E0431	
E0432	
E0434	
E0435	
E0501	
E0521	
E0531	
E0532	
E0533	
E0536	
E0551	
E0601	
E0602	
E0621	
E0631	
E0632	
E0633	
E0634	
E0636	
E0637	
E0701	
E0702	
E0703	
E0704	
E0820	
E0831	
E0832	
E0833	
E0834	
E0835	
E0836	
E0920	
E0931	
E0932	
E0933	
E0934	
E0935	
E0936	
E1001	
E1021	
E1031	
E1032	
E1033	
E1035	
E1036	
E1037	
E1038	
E1039	
E1101	
E1102	
E1121	
E1131	
E1132	
E1133	
E1134	
E1136	
E1137	
E1139	
E1140	
E1201	
E1202	
E1221	
E1232	
E1233	
E1234	
E1236	
E1237	
E1238	
E1301	
E1321	
E1331	
E1333	
E1334	
E1335	
E1336	
E1337	
E1338	
E1401	
E1421	
E1432	
E1433	
E1435	
E1436	
E1437	
E1501	
