name	government-organisation
5 BOROUGHS PARTNERSHIP NHS FOUNDATION TRUST - 	
AGO - ATTORNEY GENERAL'S OFFICE	D1
AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST - 	
AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST - 	
Attorney General's Office (LOD) - 	D1
BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST - 	
BARNET AND CHASE FARM HOSPITALS NHS TRUST - 	
BARNET, ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST - 	
BARTS HEALTH NHS TRUST - 	
BEDFORD HOSPITAL NHS TRUST - 	
BEIS - ADVISORY CONCILIATION AND ARBITRATION SERVICE	
BEIS - ARTS & HUMANITIES RESEARCH COUNCIL	PB123
BEIS - BIOTECHNOLOGY & BIOLOGICAL  SCIENCES RESEARCH COUNCIL	
BEIS - COMPANIES HOUSE	
BEIS - CONSTRUCTION INDUSTRY TRAINING BOARD	
BEIS - CORE	
BEIS - ECONOMIC AND SOCIAL RESEARCH COUNCIL	PB129
BEIS - ENGINEERING & PHYSICAL SCIENCES RESEARCH COUNCIL	PB130
BEIS - HIGHER EDUCATION FUNDING COUNCIL FOR ENGLAND	PB120
BEIS - INNOVATE UK	PB1078
BEIS - INSOLVENCY SERVICE	EA32
BEIS - INTELLECTUAL PROPERTY OFFICE	EA34
BEIS - LLT VEHICLE DISPOSALS	
BEIS - MEDICAL RESEARCH COUNCIL	PB132
BEIS - MET OFFICE	EA46
BEIS - NATIONAL MEASUREMENT AND REGULATION OFFICE	EA1109
BEIS - NATIONAL PHYSICAL LABORATORY	
BEIS - NATURAL ENVIRONMENT RESEARCH COUNCIL	PB133
BEIS  - ORDNANCE SURVEY LTD	D38
BEIS - SCIENCE & TECHNOLOGY FACILITIES COUNCIL	PB135
BEIS - SKILLS FUNDING AGENCY	EA86
BEIS - STUDENT LOANS COMPANY LTD	PB27
BEIS - UK ATOMIC ENERGY AUTHORITY	PB137
BEIS - UK GREEN INVESTMENT BANK	OT360
BEIS - UK SHARED BUSINESS SERVICE LTD	
BEIS - UK SPACE AGENCY	EA31
BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST - 	
BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST - 	
BOLTON NHS FOUNDATION TRUST - 	
BRADFORD DISTRICT CARE TRUST - 	
BUCKINGHAMSHIRE HEALTHCARE NHS TRUST - 	
BURTON HOSPITALS NHS FOUNDATION TRUST - 	
CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST - 	
CALDERSTONES PARTNERSHIP NHS FOUNDATION TRUST - 	
CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST - 	
CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST - 	
CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST - 	
CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST - 	
CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST - 	
CMA - COMPETITION AND MARKETS AUTHORITY	D550
CO - CABINET OFFICE	D2
CO - RESIDUAL ESTATE	
COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST - 	
CORNWALL PARTNERSHIP NHS FOUNDATION TRUST - 	
COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST - 	
CPS - EAST MIDLANDS	
CPS - EAST OF ENGLAND	
CPS - HEADQUARTERS	
CPS - MERSEYSIDE & CHESHIRE	
CPS - NORTH EAST	
CPS - NORTH WEST	
CPS - SOUTH EAST	
CPS - SOUTH WEST	
CPS - THAMES & CHILTERN	
CPS - WALES	
CPS - WESSEX	
CPS - WEST MIDLANDS	
CPS - YORKSHIRE & HUMBERSIDE	
CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST - 	
Cabinet Office - 	D2
Care Trusts - 	
Clinical Commissioning Groups and Hubs - 	
Competition and Markets Authority - 	D550
Crown Prosecution Service - 	D101
DCLG - CENTRAL	
DCLG - CLG CULTURAL ASSETS	
DCLG - FIRE CONTROL RESIDUAL ESTATE	
DCLG - GOVERNMENT OFFICE RESIDUAL ESTATE	
DCLG - HOMES AND COMMUNITIES AGENCY (OPERATIONAL)	PB161
DCLG - HOMES AND COMMUNITIES AGENCY (REGENERATION)	
DCLG - QUEEN ELIZABETH II CONFERENCE CENTRE	EA40
DCLG - VALUATION TRIBUNAL SERVICE	PB375
DCMS - ARTS COUNCIL ENGLAND	EA740
DCMS - BIG LOTTERY FUND	PB188
DCMS - BRITISH FILM INSTITUTE	PB189
DCMS - BRITISH LIBRARY	PB166
DCMS - BRITISH MUSEUM	PB167
DCMS - CHURCHES CONSERVATION TRUST	
DCMS - DEPARTMENT FOR CULTURE, MEDIA AND SPORT	D5
DCMS - GAMBLING COMMISSION	PB169
DCMS - HISTORIC ENGLAND	PB1164
DCMS - IMPERIAL WAR MUSEUM	PB172
DCMS - INFORMATION COMMISSIONERS OFFICE	PB298
DCMS - NATIONAL GALLERY	PB174
DCMS - NATIONAL HERITAGE MEMORIAL FUND	PB175
DCMS - NATIONAL MARITIME MUSEUM	
DCMS - NATIONAL MUSEUMS LIVERPOOL	PB178
DCMS - NATIONAL PORTRAIT GALLERY	PB179
DCMS - NATURAL HISTORY MUSEUM	PB180
DCMS - ROYAL ARMOURIES	
DCMS - SCIENCE MUSEUM GROUP	PB177
DCMS - SPORT ENGLAND	PB190
DCMS - TATE GALLERY	PB571
DCMS - VICTORIA AND ALBERT MUSEUM	PB378
DCMS - VISIT BRITAIN	PB186
DECC - CIVIL NUCLEAR CONSTABULARY	OT1063
DECC - COAL AUTHORITY	PB195
DECC - DEPARTMENT OF ENERGY AND CLIMATE CHANGE	D11
DECC - DIRECT RAIL SERVICES LIMITED	
DECC - NUCLEAR DECOMMISSIONING AUTHORITY 	PB197
